subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_51,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_84,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_97,subcarrier_98,subcarrier_101,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_127,timestamp
-47.0,20.0,-7.0,-1.0,-9.0,6.0,-9.0,-7.0,-13.0,-6.0,-9.0,5.0,-12.0,-1.0,-11.0,-5.0,-17.0,3.0,-5.0,-6.0,-15.0,-6.0,-17.0,3.0,-10.0,0.0,-13.0,0.0,-15.0,-2.0,-16.0,5.0,7.0,-17.0,8.0,-5.0,-2.0,-14.0,4.0,-11.0,11.0,-3.0,9.0,-6.0,-2.0,-6.0,-3.0,-9.0,-10.0,-13.0,-9.0,-8.0,-16.0,-9.0,-16.0,-4.0,-14.0,-24.0,-12.0,-21.0,-8.0,-19.0,-11.0,-9.0,-19.0,-6.0,-21.0,1.0,-21.0,4.0,-28.0,-3.0,-23.0,-19.0,0.0,-24.0,0.0,-14.0,-5.0,-23.0,4.0,-17.0,0.0,-2.0,-19.0,-3.0,-3.0,3002.85
17.0,22.0,2.0,-8.0,8.0,-1.0,-12.0,10.0,7.0,15.0,4.0,5.0,10.0,11.0,4.0,12.0,6.0,24.0,10.0,13.0,8.0,18.0,13.0,13.0,11.0,5.0,18.0,12.0,10.0,7.0,16.0,5.0,1.0,8.0,-4.0,13.0,1.0,17.0,0.0,11.0,-9.0,6.0,-2.0,13.0,1.0,12.0,12.0,-12.0,0.0,-13.0,1.0,-18.0,-3.0,-3.0,1.0,-12.0,-5.0,-2.0,-15.0,0.0,-23.0,-1.0,-22.0,-23.0,-1.0,-26.0,-7.0,-33.0,1.0,-25.0,-1.0,-23.0,-8.0,1.0,-27.0,-4.0,-13.0,-4.0,-25.0,-2.0,-26.0,-1.0,-30.0,-19.0,4.0,-11.0,-20.0,3002.85
32.0,8.0,-12.0,-6.0,-21.0,-12.0,-5.0,-12.0,-7.0,-15.0,-16.0,-7.0,-3.0,-3.0,-13.0,-17.0,-14.0,-9.0,-14.0,-2.0,-20.0,-11.0,-8.0,-2.0,-5.0,-12.0,-8.0,-14.0,-12.0,-5.0,-21.0,-10.0,0.0,-14.0,-2.0,-14.0,4.0,-16.0,1.0,-10.0,2.0,-20.0,3.0,-12.0,-3.0,-6.0,-5.0,-6.0,-7.0,-15.0,-10.0,-12.0,-8.0,-11.0,-10.0,-16.0,-18.0,-16.0,-13.0,-22.0,-5.0,-19.0,-11.0,-1.0,-23.0,-7.0,-23.0,1.0,-27.0,-1.0,-17.0,6.0,-24.0,-32.0,6.0,-26.0,6.0,-21.0,14.0,-27.0,11.0,-12.0,4.0,11.0,-16.0,8.0,-3.0,3002.86
96.0,9.0,-9.0,6.0,1.0,-5.0,4.0,-8.0,-1.0,-10.0,-5.0,-14.0,1.0,-15.0,9.0,-19.0,3.0,-16.0,4.0,-17.0,6.0,-13.0,0.0,-12.0,-3.0,-10.0,1.0,-13.0,6.0,-23.0,-2.0,-17.0,-15.0,-1.0,-11.0,-7.0,-8.0,-5.0,-6.0,-8.0,-5.0,-6.0,-3.0,-16.0,-7.0,-18.0,-1.0,10.0,-15.0,9.0,-8.0,9.0,-3.0,-5.0,-6.0,25.0,-7.0,-5.0,24.0,4.0,16.0,-4.0,25.0,23.0,-5.0,25.0,2.0,21.0,2.0,29.0,3.0,28.0,4.0,1.0,22.0,10.0,25.0,5.0,21.0,3.0,21.0,3.0,28.0,10.0,-3.0,9.0,11.0,3002.86
32.0,6.0,9.0,1.0,2.0,4.0,13.0,-7.0,10.0,-8.0,7.0,-7.0,7.0,-2.0,6.0,-15.0,2.0,-6.0,7.0,-8.0,3.0,-13.0,10.0,-19.0,11.0,-16.0,9.0,-18.0,-2.0,-18.0,-2.0,-15.0,-6.0,-4.0,-11.0,-17.0,-16.0,-6.0,-9.0,-8.0,-1.0,-2.0,-8.0,-5.0,-8.0,-12.0,7.0,0.0,8.0,3.0,3.0,13.0,3.0,6.0,15.0,8.0,-3.0,14.0,18.0,10.0,24.0,20.0,11.0,16.0,22.0,15.0,19.0,7.0,27.0,17.0,28.0,5.0,27.0,21.0,15.0,22.0,6.0,27.0,10.0,19.0,-1.0,13.0,12.0,6.0,15.0,5.0,15.0,3002.87
-96.0,10.0,-2.0,11.0,-10.0,-8.0,8.0,-7.0,-2.0,-14.0,6.0,-17.0,-5.0,-5.0,-6.0,-15.0,-4.0,0.0,-5.0,-14.0,-10.0,-12.0,-2.0,-8.0,-8.0,-22.0,-12.0,-8.0,-13.0,-15.0,-15.0,-5.0,-1.0,-24.0,-6.0,-12.0,6.0,-2.0,-1.0,-12.0,0.0,-9.0,9.0,-4.0,-11.0,1.0,1.0,17.0,4.0,14.0,0.0,20.0,3.0,2.0,-6.0,20.0,4.0,0.0,11.0,1.0,21.0,11.0,29.0,21.0,14.0,17.0,15.0,14.0,4.0,28.0,9.0,23.0,7.0,14.0,22.0,4.0,17.0,7.0,24.0,-2.0,22.0,1.0,19.0,19.0,-2.0,18.0,12.0,3002.87
-32.0,11.0,11.0,10.0,-2.0,4.0,11.0,-15.0,8.0,-7.0,14.0,-7.0,17.0,-8.0,13.0,-3.0,13.0,-13.0,12.0,-17.0,12.0,-8.0,14.0,-19.0,12.0,-17.0,9.0,-14.0,8.0,-10.0,8.0,-13.0,-14.0,0.0,-10.0,2.0,-10.0,0.0,-11.0,2.0,-7.0,-4.0,-4.0,-9.0,-2.0,-8.0,-1.0,9.0,5.0,3.0,5.0,18.0,8.0,0.0,1.0,17.0,8.0,7.0,17.0,19.0,11.0,12.0,25.0,18.0,10.0,12.0,20.0,17.0,24.0,13.0,23.0,14.0,16.0,21.0,8.0,23.0,9.0,11.0,11.0,21.0,10.0,14.0,14.0,9.0,8.0,10.0,15.0,3002.88
-32.0,5.0,-9.0,18.0,-3.0,-10.0,38.0,-2.0,30.0,-4.0,25.0,-6.0,15.0,-3.0,22.0,-1.0,27.0,6.0,25.0,4.0,19.0,-2.0,16.0,-4.0,10.0,-4.0,14.0,-13.0,13.0,-10.0,6.0,-10.0,-16.0,4.0,-14.0,8.0,-20.0,3.0,-20.0,-5.0,-16.0,-3.0,-23.0,-4.0,-3.0,-4.0,29.0,2.0,32.0,3.0,32.0,1.0,34.0,31.0,36.0,-7.0,34.0,28.0,-9.0,29.0,-11.0,20.0,-8.0,-4.0,17.0,-3.0,10.0,0.0,2.0,2.0,5.0,6.0,-3.0,2.0,8.0,-3.0,10.0,-10.0,11.0,-8.0,16.0,-16.0,15.0,19.0,0.0,17.0,17.0,3002.88
-96.0,10.0,-69.0,21.0,-48.0,-35.0,14.0,-45.0,28.0,-59.0,27.0,-46.0,26.0,-34.0,4.0,-36.0,27.0,-29.0,14.0,-48.0,10.0,-38.0,14.0,-39.0,6.0,-16.0,0.0,-13.0,-4.0,-13.0,-16.0,-12.0,-14.0,-24.0,-2.0,-25.0,-12.0,-32.0,-9.0,-33.0,-6.0,-34.0,2.0,-31.0,-40.0,-35.0,33.0,46.0,33.0,39.0,38.0,44.0,36.0,50.0,46.0,28.0,34.0,41.0,35.0,39.0,26.0,42.0,31.0,29.0,25.0,26.0,7.0,13.0,12.0,10.0,-12.0,14.0,-10.0,-12.0,18.0,-23.0,5.0,-37.0,19.0,-34.0,-10.0,-43.0,3.0,-2.0,-43.0,25.0,-3.0,3002.89
-32.0,11.0,57.0,-21.0,42.0,50.0,-31.0,52.0,-10.0,43.0,-20.0,45.0,-6.0,57.0,-29.0,27.0,-18.0,34.0,-15.0,19.0,-19.0,45.0,-4.0,14.0,3.0,28.0,-3.0,25.0,1.0,18.0,11.0,7.0,9.0,24.0,4.0,27.0,-2.0,27.0,-6.0,37.0,1.0,39.0,-6.0,35.0,39.0,41.0,-20.0,-55.0,-18.0,-49.0,-28.0,-48.0,-33.0,-31.0,-29.0,-54.0,-29.0,-33.0,-43.0,-37.0,-40.0,-33.0,-39.0,-38.0,-19.0,-29.0,-3.0,-20.0,-4.0,-20.0,13.0,-14.0,17.0,29.0,-7.0,19.0,-1.0,37.0,7.0,22.0,-2.0,16.0,2.0,18.0,43.0,5.0,-7.0,3002.9
0.0,8.0,-3.0,-15.0,-1.0,3.0,-4.0,6.0,-3.0,7.0,-13.0,14.0,-8.0,11.0,-10.0,11.0,-3.0,12.0,-9.0,14.0,-7.0,17.0,-2.0,14.0,1.0,10.0,-2.0,13.0,-5.0,12.0,-2.0,20.0,19.0,3.0,15.0,6.0,6.0,5.0,6.0,6.0,2.0,7.0,5.0,5.0,7.0,14.0,1.0,-7.0,1.0,-6.0,7.0,-12.0,4.0,-2.0,1.0,-15.0,4.0,-4.0,-18.0,-7.0,-20.0,-7.0,-17.0,-27.0,-3.0,-28.0,-3.0,-22.0,-10.0,-23.0,-11.0,-22.0,-11.0,-17.0,-14.0,-11.0,-14.0,-16.0,-24.0,-1.0,-11.0,-2.0,-14.0,-14.0,-10.0,-13.0,-6.0,3002.9
-30.0,45.0,8.0,-10.0,5.0,10.0,3.0,8.0,2.0,5.0,8.0,14.0,9.0,10.0,14.0,7.0,6.0,3.0,5.0,12.0,13.0,7.0,18.0,17.0,13.0,17.0,18.0,8.0,12.0,8.0,7.0,5.0,11.0,6.0,1.0,10.0,4.0,17.0,0.0,8.0,1.0,12.0,-5.0,17.0,7.0,-1.0,7.0,-6.0,9.0,-7.0,7.0,-9.0,20.0,11.0,7.0,-3.0,17.0,19.0,-10.0,16.0,-19.0,14.0,-20.0,-16.0,12.0,-13.0,9.0,-28.0,14.0,-21.0,7.0,-21.0,7.0,15.0,-21.0,13.0,-27.0,2.0,-14.0,9.0,-18.0,9.0,-16.0,-5.0,3.0,-15.0,-8.0,3002.93
-32.0,9.0,-11.0,-8.0,-16.0,-8.0,-10.0,-13.0,-9.0,-11.0,-14.0,-7.0,-3.0,-17.0,-15.0,-15.0,-11.0,-8.0,-16.0,-13.0,-9.0,-22.0,-15.0,-7.0,-19.0,-10.0,-13.0,-15.0,-13.0,-19.0,-18.0,-5.0,-8.0,-24.0,-5.0,-17.0,0.0,-13.0,-7.0,-9.0,-7.0,-11.0,3.0,-9.0,-10.0,-9.0,-8.0,-14.0,-3.0,-6.0,-2.0,-14.0,-5.0,-7.0,-6.0,-19.0,-11.0,-19.0,-16.0,-17.0,-11.0,-22.0,-13.0,-15.0,-12.0,-11.0,-29.0,-5.0,-28.0,-1.0,-28.0,0.0,-31.0,-15.0,10.0,-26.0,9.0,-18.0,2.0,-19.0,2.0,-15.0,0.0,10.0,-19.0,9.0,0.0,3002.93
80.0,11.0,-8.0,-7.0,-3.0,6.0,-14.0,10.0,-2.0,4.0,-15.0,7.0,-9.0,11.0,-15.0,7.0,-17.0,13.0,-6.0,3.0,-15.0,10.0,-20.0,16.0,-20.0,12.0,-13.0,5.0,-16.0,2.0,-18.0,14.0,18.0,-8.0,10.0,-2.0,13.0,-3.0,5.0,-5.0,9.0,-3.0,12.0,8.0,5.0,6.0,6.0,-5.0,7.0,-4.0,2.0,-8.0,7.0,2.0,2.0,-11.0,0.0,3.0,-21.0,3.0,-17.0,3.0,-15.0,-26.0,6.0,-17.0,-9.0,-10.0,-13.0,-25.0,-17.0,-19.0,-20.0,-10.0,-20.0,-8.0,-21.0,-24.0,-7.0,-8.0,-26.0,-11.0,-15.0,-20.0,-7.0,-13.0,-3.0,3002.94
-48.0,12.0,2.0,-7.0,0.0,7.0,-10.0,1.0,-12.0,5.0,-5.0,10.0,-1.0,11.0,-1.0,10.0,-3.0,20.0,-15.0,17.0,6.0,17.0,0.0,22.0,-13.0,16.0,-6.0,22.0,-4.0,12.0,-2.0,24.0,17.0,-5.0,20.0,2.0,7.0,8.0,15.0,8.0,13.0,11.0,9.0,14.0,9.0,8.0,11.0,-4.0,3.0,-5.0,16.0,-13.0,10.0,12.0,14.0,-14.0,11.0,18.0,-15.0,8.0,-16.0,4.0,-18.0,-27.0,-8.0,-29.0,10.0,-33.0,8.0,-19.0,-6.0,-27.0,-11.0,7.0,-25.0,11.0,-18.0,-1.0,-18.0,-6.0,-18.0,-7.0,-24.0,-15.0,-4.0,-29.0,-15.0,3002.94
-96.0,5.0,11.0,-14.0,9.0,12.0,-20.0,7.0,-18.0,18.0,-7.0,3.0,-8.0,13.0,-12.0,12.0,-7.0,17.0,-11.0,22.0,-11.0,17.0,-10.0,22.0,-6.0,16.0,-6.0,18.0,-10.0,16.0,-8.0,17.0,19.0,-2.0,14.0,2.0,13.0,-10.0,11.0,-1.0,12.0,-3.0,15.0,12.0,4.0,6.0,14.0,1.0,11.0,-3.0,12.0,-5.0,12.0,10.0,12.0,-12.0,10.0,10.0,-16.0,12.0,-17.0,9.0,-17.0,-17.0,6.0,-20.0,3.0,-22.0,-5.0,-25.0,-8.0,-32.0,-8.0,-7.0,-12.0,-5.0,-28.0,-8.0,-21.0,-7.0,-24.0,-1.0,-28.0,-18.0,-2.0,-18.0,-16.0,3002.95
32.0,9.0,-10.0,16.0,-5.0,-4.0,11.0,-10.0,17.0,-6.0,10.0,-17.0,9.0,-11.0,0.0,-11.0,5.0,-19.0,9.0,-25.0,16.0,-17.0,15.0,-18.0,18.0,-22.0,11.0,-18.0,15.0,-14.0,10.0,-24.0,-14.0,-2.0,-27.0,-2.0,-27.0,-3.0,-14.0,-8.0,-14.0,-7.0,-18.0,-3.0,-2.0,-6.0,-8.0,9.0,-14.0,1.0,-15.0,8.0,-14.0,-12.0,-6.0,20.0,-11.0,-7.0,18.0,-10.0,17.0,-11.0,15.0,22.0,4.0,25.0,3.0,26.0,4.0,21.0,11.0,17.0,4.0,4.0,22.0,15.0,20.0,13.0,22.0,9.0,14.0,3.0,29.0,22.0,6.0,13.0,13.0,3002.96
