subcarrier_0,subcarrier_1,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_10,subcarrier_11,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_53,subcarrier_77,subcarrier_79,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_98,subcarrier_99,subcarrier_102,subcarrier_103,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_110,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_119,subcarrier_120,subcarrier_124,subcarrier_125,subcarrier_127,timestamp
30.0,-32.0,4.0,23.0,3.0,23.0,23.0,2.0,23.0,2.0,22.0,1.0,22.0,1.0,23.0,23.0,0.0,23.0,23.0,22.0,0.0,22.0,23.0,0.0,22.0,1.0,1.0,21.0,2.0,21.0,2.0,20.0,2.0,20.0,2.0,19.0,2.0,19.0,3.0,3.0,1.0,2.0,2.0,19.0,3.0,19.0,3.0,4.0,20.0,21.0,5.0,21.0,5.0,21.0,5.0,22.0,22.0,6.0,22.0,5.0,22.0,6.0,6.0,21.0,22.0,5.0,22.0,5.0,22.0,4.0,4.0,22.0,24.0,3.0,2.0,5214.66
30.0,-32.0,-17.0,-22.0,-15.0,-21.0,-21.0,-15.0,-22.0,-14.0,-22.0,-14.0,-22.0,-13.0,-22.0,-23.0,-13.0,-22.0,-23.0,-22.0,-13.0,-22.0,-23.0,-12.0,-22.0,-13.0,-13.0,-21.0,-13.0,-20.0,-13.0,-20.0,-13.0,-19.0,-13.0,-18.0,-13.0,-18.0,-14.0,-14.0,-12.0,-13.0,-13.0,-17.0,-14.0,-17.0,-14.0,-15.0,-18.0,-18.0,-16.0,-18.0,-17.0,-18.0,-17.0,-17.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-17.0,-18.0,-19.0,-17.0,-19.0,-17.0,-19.0,-16.0,-17.0,-20.0,-21.0,-17.0,-16.0,5215.49
30.0,-32.0,-23.0,-14.0,-23.0,-13.0,-14.0,-23.0,-14.0,-22.0,-14.0,-21.0,-15.0,-21.0,-15.0,-15.0,-21.0,-15.0,-16.0,-15.0,-20.0,-15.0,-15.0,-21.0,-14.0,-21.0,-20.0,-13.0,-21.0,-13.0,-20.0,-12.0,-20.0,-11.0,-20.0,-11.0,-20.0,-10.0,-20.0,-20.0,-17.0,-18.0,-19.0,-12.0,-19.0,-11.0,-19.0,-21.0,-11.0,-11.0,-21.0,-11.0,-22.0,-10.0,-23.0,-10.0,-10.0,-23.0,-10.0,-23.0,-10.0,-23.0,-23.0,-10.0,-11.0,-23.0,-11.0,-24.0,-12.0,-23.0,-23.0,-12.0,-13.0,-24.0,-24.0,5215.67
-114.0,-32.0,0.0,26.0,0.0,26.0,26.0,-1.0,26.0,-2.0,26.0,-2.0,26.0,-3.0,26.0,26.0,-4.0,26.0,26.0,26.0,-4.0,26.0,26.0,-4.0,25.0,-3.0,-3.0,24.0,-2.0,23.0,-1.0,23.0,0.0,22.0,0.0,22.0,1.0,21.0,2.0,3.0,0.0,0.0,1.0,16.0,2.0,16.0,2.0,3.0,18.0,18.0,4.0,19.0,5.0,19.0,5.0,20.0,21.0,6.0,21.0,6.0,21.0,6.0,6.0,22.0,23.0,5.0,23.0,5.0,23.0,4.0,4.0,24.0,26.0,3.0,3.0,5216.31
-94.0,32.0,-23.0,-15.0,-23.0,-15.0,-15.0,-23.0,-17.0,-22.0,-16.0,-22.0,-17.0,-21.0,-17.0,-18.0,-21.0,-18.0,-19.0,-18.0,-20.0,-17.0,-17.0,-20.0,-16.0,-20.0,-21.0,-15.0,-20.0,-14.0,-20.0,-13.0,-20.0,-12.0,-20.0,-11.0,-20.0,-10.0,-20.0,-20.0,-12.0,-13.0,-14.0,-8.0,-15.0,-9.0,-15.0,-17.0,-8.0,-8.0,-18.0,-8.0,-19.0,-7.0,-20.0,-7.0,-7.0,-22.0,-7.0,-22.0,-8.0,-22.0,-22.0,-9.0,-10.0,-23.0,-10.0,-23.0,-11.0,-22.0,-23.0,-11.0,-12.0,-24.0,-24.0,5216.32
-72.0,-128.0,-23.0,7.0,-23.0,7.0,7.0,-24.0,4.0,-24.0,6.0,-24.0,4.0,-24.0,4.0,4.0,-24.0,4.0,3.0,3.0,-25.0,3.0,4.0,-24.0,4.0,-24.0,-23.0,4.0,-22.0,5.0,-21.0,5.0,-21.0,7.0,-20.0,8.0,-19.0,7.0,-18.0,-18.0,-13.0,-13.0,-14.0,6.0,-14.0,6.0,-14.0,-15.0,8.0,9.0,-15.0,9.0,-17.0,10.0,-15.0,11.0,12.0,-16.0,12.0,-17.0,11.0,-18.0,-18.0,11.0,11.0,-19.0,10.0,-20.0,10.0,-20.0,-21.0,10.0,10.0,-22.0,-22.0,5216.33
30.0,-32.0,-26.0,8.0,-26.0,8.0,9.0,-25.0,7.0,-25.0,7.0,-25.0,6.0,-25.0,5.0,5.0,-25.0,4.0,4.0,5.0,-24.0,5.0,5.0,-25.0,5.0,-25.0,-24.0,6.0,-23.0,6.0,-23.0,6.0,-22.0,6.0,-22.0,6.0,-21.0,6.0,-21.0,-21.0,-19.0,-20.0,-20.0,8.0,-20.0,9.0,-19.0,-21.0,10.0,10.0,-21.0,11.0,-22.0,11.0,-21.0,11.0,12.0,-22.0,12.0,-22.0,12.0,-22.0,-22.0,11.0,11.0,-23.0,11.0,-23.0,10.0,-23.0,-24.0,10.0,9.0,-25.0,-25.0,5216.49
30.0,-32.0,-3.0,-27.0,-2.0,-26.0,-26.0,-2.0,-26.0,-1.0,-25.0,-1.0,-25.0,0.0,-26.0,-26.0,0.0,-25.0,-26.0,-25.0,0.0,-25.0,-25.0,1.0,-25.0,0.0,-1.0,-24.0,-1.0,-24.0,-1.0,-23.0,-2.0,-23.0,-2.0,-22.0,-2.0,-22.0,-3.0,-3.0,-1.0,-1.0,-2.0,-22.0,-2.0,-22.0,-2.0,-3.0,-23.0,-24.0,-4.0,-25.0,-4.0,-24.0,-5.0,-24.0,-25.0,-6.0,-25.0,-6.0,-25.0,-5.0,-5.0,-24.0,-25.0,-5.0,-25.0,-5.0,-25.0,-4.0,-4.0,-25.0,-27.0,-3.0,-3.0,5216.66
30.0,-32.0,1.0,-27.0,2.0,-26.0,-26.0,1.0,-26.0,3.0,-25.0,3.0,-25.0,4.0,-25.0,-25.0,4.0,-25.0,-25.0,-25.0,5.0,-25.0,-25.0,5.0,-25.0,4.0,3.0,-24.0,3.0,-23.0,3.0,-23.0,2.0,-23.0,2.0,-22.0,1.0,-22.0,1.0,0.0,1.0,0.0,0.0,-22.0,-1.0,-22.0,-1.0,-1.0,-23.0,-24.0,-2.0,-24.0,-2.0,-25.0,-3.0,-24.0,-26.0,-4.0,-25.0,-4.0,-25.0,-3.0,-3.0,-25.0,-25.0,-2.0,-26.0,-2.0,-25.0,-1.0,-1.0,-26.0,-27.0,0.0,0.0,5217.49
30.0,-32.0,-2.0,25.0,-2.0,25.0,25.0,-2.0,25.0,-3.0,24.0,-3.0,24.0,-3.0,24.0,24.0,-4.0,24.0,24.0,24.0,-4.0,24.0,24.0,-4.0,24.0,-3.0,-2.0,23.0,-2.0,22.0,-1.0,22.0,-1.0,21.0,-1.0,21.0,0.0,21.0,0.0,1.0,-3.0,-2.0,-2.0,20.0,-2.0,21.0,-1.0,-1.0,22.0,23.0,0.0,24.0,0.0,23.0,1.0,24.0,25.0,2.0,24.0,2.0,24.0,2.0,2.0,24.0,24.0,1.0,25.0,1.0,24.0,0.0,0.0,24.0,26.0,0.0,-1.0,5217.68
30.0,-32.0,-20.0,17.0,-20.0,17.0,17.0,-19.0,16.0,-20.0,15.0,-20.0,15.0,-20.0,15.0,14.0,-21.0,14.0,14.0,14.0,-21.0,14.0,14.0,-21.0,15.0,-20.0,-20.0,14.0,-20.0,14.0,-18.0,14.0,-18.0,14.0,-17.0,14.0,-17.0,14.0,-16.0,-16.0,-15.0,-15.0,-15.0,15.0,-15.0,15.0,-15.0,-15.0,17.0,17.0,-15.0,19.0,-16.0,19.0,-15.0,19.0,20.0,-15.0,19.0,-15.0,19.0,-15.0,-15.0,19.0,19.0,-17.0,19.0,-17.0,18.0,-17.0,-17.0,18.0,18.0,-19.0,-19.0,5218.49
30.0,-32.0,23.0,13.0,22.0,13.0,12.0,22.0,13.0,21.0,13.0,20.0,13.0,20.0,14.0,14.0,19.0,14.0,15.0,14.0,19.0,14.0,14.0,20.0,13.0,20.0,20.0,12.0,20.0,11.0,19.0,11.0,19.0,10.0,19.0,11.0,18.0,10.0,19.0,18.0,16.0,17.0,18.0,10.0,18.0,10.0,18.0,19.0,10.0,9.0,21.0,9.0,21.0,9.0,22.0,9.0,9.0,23.0,9.0,22.0,9.0,22.0,22.0,9.0,10.0,22.0,10.0,23.0,10.0,22.0,22.0,10.0,12.0,23.0,22.0,5218.68
30.0,-32.0,-16.0,21.0,-16.0,20.0,20.0,-16.0,19.0,-16.0,19.0,-16.0,19.0,-16.0,18.0,18.0,-17.0,18.0,18.0,18.0,-16.0,19.0,18.0,-17.0,19.0,-16.0,-16.0,18.0,-15.0,18.0,-14.0,18.0,-14.0,17.0,-13.0,17.0,-13.0,17.0,-12.0,-11.0,-13.0,-13.0,-13.0,17.0,-13.0,17.0,-12.0,-12.0,18.0,20.0,-13.0,20.0,-13.0,20.0,-13.0,21.0,22.0,-12.0,22.0,-12.0,21.0,-12.0,-12.0,21.0,21.0,-13.0,22.0,-13.0,20.0,-13.0,-14.0,20.0,21.0,-15.0,-15.0,5219.49
30.0,-32.0,-8.0,-26.0,-7.0,-26.0,-26.0,-7.0,-26.0,-5.0,-25.0,-5.0,-25.0,-4.0,-25.0,-26.0,-4.0,-26.0,-25.0,-25.0,-4.0,-25.0,-25.0,-4.0,-25.0,-5.0,-5.0,-24.0,-6.0,-23.0,-5.0,-22.0,-5.0,-22.0,-5.0,-22.0,-6.0,-21.0,-6.0,-7.0,-5.0,-5.0,-6.0,-21.0,-6.0,-21.0,-7.0,-8.0,-22.0,-22.0,-8.0,-23.0,-9.0,-23.0,-10.0,-23.0,-24.0,-10.0,-23.0,-11.0,-24.0,-10.0,-10.0,-23.0,-24.0,-9.0,-24.0,-9.0,-24.0,-8.0,-8.0,-25.0,-26.0,-8.0,-8.0,5219.68
