subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_20,subcarrier_22,subcarrier_24,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_34,subcarrier_35,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_50,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_118,subcarrier_119,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_126,subcarrier_127,timestamp
-24.0,-5.0,-23.0,-5.0,-5.0,-23.0,-4.0,-23.0,-3.0,-23.0,-23.0,-23.0,-24.0,-24.0,-23.0,-2.0,-24.0,-23.0,-23.0,-2.0,-3.0,-3.0,-22.0,-3.0,-22.0,-3.0,-21.0,-4.0,-4.0,-20.0,-20.0,-20.0,-6.0,-15.0,-3.0,-4.0,-16.0,-4.0,-16.0,-5.0,-17.0,-5.0,-18.0,-5.0,-18.0,-5.0,-19.0,-6.0,-19.0,-6.0,-19.0,-7.0,-19.0,-7.0,-19.0,-8.0,-19.0,-7.0,-20.0,-8.0,-20.0,-20.0,-6.0,-21.0,-7.0,-21.0,-6.0,-21.0,-5.0,-22.0,-6.0,-23.0,-24.0,-5.0,47.0366
-28.0,2.0,-26.0,3.0,2.0,-26.0,3.0,-26.0,4.0,-25.0,-25.0,-26.0,-26.0,-26.0,-26.0,6.0,-26.0,-26.0,-26.0,6.0,5.0,4.0,-25.0,4.0,-25.0,3.0,-24.0,3.0,3.0,-23.0,-23.0,-23.0,1.0,-17.0,1.0,1.0,-19.0,0.0,-19.0,0.0,-20.0,0.0,-21.0,0.0,-21.0,-1.0,-22.0,-1.0,-22.0,-1.0,-22.0,-2.0,-22.0,-2.0,-23.0,-2.0,-22.0,-2.0,-24.0,-2.0,-23.0,-23.0,-1.0,-24.0,0.0,-24.0,0.0,-24.0,1.0,-25.0,1.0,-26.0,-25.0,2.0,47.1794
-4.0,24.0,-4.0,24.0,24.0,-4.0,24.0,-3.0,24.0,-3.0,-2.0,-2.0,-2.0,-1.0,-1.0,24.0,-1.0,-2.0,-2.0,24.0,24.0,23.0,-3.0,23.0,-3.0,22.0,-4.0,22.0,21.0,-4.0,-5.0,-5.0,20.0,-2.0,15.0,16.0,-3.0,16.0,-4.0,17.0,-4.0,18.0,-5.0,18.0,-5.0,19.0,-5.0,19.0,-6.0,19.0,-6.0,21.0,-7.0,20.0,-7.0,20.0,-7.0,20.0,-7.0,21.0,-6.0,-6.0,21.0,-6.0,21.0,-6.0,22.0,-5.0,22.0,-5.0,23.0,-6.0,-5.0,25.0,47.3827
-20.0,15.0,-19.0,15.0,14.0,-18.0,14.0,-18.0,15.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,16.0,-17.0,-17.0,-17.0,16.0,15.0,15.0,-18.0,14.0,-18.0,14.0,-17.0,13.0,12.0,-17.0,-17.0,-17.0,10.0,-11.0,9.0,9.0,-13.0,9.0,-13.0,9.0,-14.0,9.0,-15.0,9.0,-15.0,10.0,-16.0,10.0,-16.0,10.0,-17.0,10.0,-17.0,9.0,-18.0,10.0,-17.0,10.0,-18.0,10.0,-18.0,-17.0,10.0,-18.0,11.0,-18.0,12.0,-18.0,12.0,-18.0,13.0,-19.0,-19.0,13.0,47.4855
-10.0,-24.0,-10.0,-23.0,-23.0,-10.0,-23.0,-11.0,-22.0,-11.0,-12.0,-12.0,-12.0,-12.0,-12.0,-21.0,-13.0,-12.0,-12.0,-21.0,-21.0,-21.0,-10.0,-21.0,-9.0,-20.0,-9.0,-20.0,-20.0,-8.0,-7.0,-7.0,-19.0,-8.0,-15.0,-16.0,-8.0,-17.0,-8.0,-17.0,-7.0,-18.0,-8.0,-19.0,-8.0,-20.0,-7.0,-20.0,-7.0,-21.0,-7.0,-22.0,-6.0,-21.0,-6.0,-22.0,-6.0,-22.0,-7.0,-22.0,-7.0,-7.0,-22.0,-8.0,-22.0,-8.0,-22.0,-9.0,-22.0,-9.0,-23.0,-9.0,-10.0,-23.0,47.7923
14.0,20.0,13.0,20.0,20.0,14.0,19.0,14.0,19.0,14.0,14.0,15.0,15.0,15.0,15.0,18.0,16.0,15.0,15.0,18.0,19.0,18.0,13.0,18.0,12.0,18.0,12.0,18.0,17.0,10.0,10.0,9.0,17.0,10.0,12.0,13.0,10.0,14.0,10.0,14.0,10.0,16.0,10.0,16.0,10.0,17.0,11.0,18.0,10.0,17.0,10.0,19.0,10.0,19.0,10.0,19.0,10.0,19.0,9.0,19.0,10.0,10.0,18.0,11.0,19.0,11.0,20.0,12.0,19.0,12.0,20.0,13.0,14.0,21.0,47.894
-14.0,-19.0,-15.0,-19.0,-18.0,-15.0,-19.0,-15.0,-18.0,-15.0,-15.0,-16.0,-16.0,-16.0,-16.0,-17.0,-17.0,-16.0,-16.0,-17.0,-18.0,-18.0,-14.0,-18.0,-13.0,-17.0,-13.0,-17.0,-16.0,-12.0,-11.0,-11.0,-17.0,-12.0,-11.0,-12.0,-12.0,-13.0,-11.0,-14.0,-12.0,-15.0,-12.0,-15.0,-12.0,-16.0,-12.0,-17.0,-11.0,-17.0,-12.0,-18.0,-12.0,-18.0,-12.0,-18.0,-12.0,-18.0,-11.0,-18.0,-12.0,-12.0,-17.0,-13.0,-18.0,-12.0,-18.0,-13.0,-18.0,-14.0,-18.0,-15.0,-16.0,-19.0,48.4067
11.0,-22.0,10.0,-22.0,-22.0,10.0,-22.0,10.0,-23.0,9.0,9.0,8.0,8.0,8.0,8.0,-23.0,8.0,8.0,9.0,-23.0,-23.0,-22.0,10.0,-22.0,10.0,-21.0,10.0,-20.0,-20.0,10.0,10.0,11.0,-18.0,6.0,-15.0,-15.0,7.0,-15.0,8.0,-15.0,8.0,-16.0,9.0,-16.0,9.0,-17.0,10.0,-17.0,10.0,-17.0,11.0,-18.0,11.0,-17.0,12.0,-18.0,11.0,-17.0,12.0,-18.0,11.0,11.0,-18.0,11.0,-19.0,11.0,-19.0,11.0,-20.0,11.0,-21.0,11.0,10.0,-22.0,48.5092
-23.0,9.0,-22.0,9.0,9.0,-22.0,9.0,-22.0,10.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,11.0,-20.0,-20.0,-21.0,11.0,10.0,10.0,-20.0,9.0,-20.0,9.0,-19.0,8.0,8.0,-19.0,-19.0,-19.0,6.0,-15.0,6.0,6.0,-16.0,6.0,-17.0,6.0,-17.0,6.0,-18.0,6.0,-18.0,6.0,-19.0,6.0,-20.0,6.0,-20.0,5.0,-20.0,5.0,-21.0,5.0,-21.0,5.0,-21.0,5.0,-20.0,-21.0,6.0,-21.0,6.0,-21.0,7.0,-21.0,8.0,-22.0,8.0,-23.0,-23.0,8.0,48.9189
18.0,-19.0,16.0,-18.0,-19.0,17.0,-19.0,17.0,-20.0,16.0,15.0,16.0,16.0,15.0,16.0,-20.0,15.0,16.0,17.0,-20.0,-19.0,-19.0,17.0,-18.0,16.0,-17.0,16.0,-17.0,-16.0,16.0,17.0,17.0,-14.0,10.0,-13.0,-13.0,12.0,-13.0,12.0,-13.0,13.0,-13.0,14.0,-14.0,14.0,-14.0,15.0,-14.0,15.0,-14.0,16.0,-14.0,17.0,-14.0,17.0,-14.0,16.0,-14.0,17.0,-14.0,16.0,16.0,-15.0,16.0,-15.0,17.0,-16.0,17.0,-17.0,17.0,-17.0,18.0,18.0,-18.0,49.0218
2.0,25.0,2.0,24.0,24.0,2.0,24.0,3.0,24.0,3.0,3.0,4.0,3.0,4.0,4.0,23.0,4.0,4.0,3.0,24.0,24.0,23.0,1.0,23.0,1.0,23.0,0.0,22.0,22.0,-1.0,-1.0,-2.0,20.0,3.0,15.0,16.0,2.0,17.0,1.0,17.0,1.0,18.0,1.0,19.0,1.0,19.0,0.0,20.0,0.0,20.0,0.0,21.0,-1.0,21.0,-1.0,21.0,-1.0,21.0,-1.0,22.0,0.0,0.0,22.0,0.0,22.0,1.0,23.0,1.0,23.0,1.0,23.0,1.0,2.0,25.0,49.2259
24.0,2.0,23.0,2.0,2.0,24.0,2.0,24.0,1.0,23.0,23.0,24.0,24.0,24.0,23.0,0.0,24.0,23.0,24.0,0.0,1.0,1.0,23.0,2.0,22.0,2.0,21.0,2.0,3.0,20.0,20.0,19.0,4.0,16.0,0.0,1.0,16.0,1.0,17.0,1.0,18.0,2.0,18.0,3.0,19.0,3.0,20.0,3.0,20.0,4.0,20.0,5.0,20.0,4.0,21.0,4.0,21.0,5.0,21.0,5.0,20.0,21.0,3.0,22.0,4.0,22.0,4.0,22.0,3.0,23.0,3.0,24.0,25.0,3.0,49.4285
-26.0,7.0,-25.0,6.0,6.0,-25.0,6.0,-24.0,7.0,-24.0,-24.0,-24.0,-24.0,-24.0,-23.0,9.0,-24.0,-24.0,-24.0,8.0,8.0,7.0,-24.0,6.0,-23.0,6.0,-22.0,5.0,5.0,-22.0,-22.0,-21.0,3.0,-16.0,5.0,4.0,-17.0,4.0,-18.0,4.0,-19.0,4.0,-20.0,3.0,-20.0,4.0,-21.0,3.0,-21.0,3.0,-22.0,3.0,-22.0,3.0,-22.0,2.0,-22.0,2.0,-23.0,2.0,-22.0,-23.0,3.0,-23.0,4.0,-24.0,4.0,-24.0,5.0,-24.0,5.0,-25.0,-25.0,5.0,50.0466
-22.0,-10.0,-22.0,-9.0,-9.0,-21.0,-8.0,-22.0,-8.0,-21.0,-21.0,-22.0,-22.0,-22.0,-22.0,-7.0,-22.0,-22.0,-22.0,-7.0,-7.0,-7.0,-21.0,-8.0,-20.0,-8.0,-20.0,-8.0,-8.0,-19.0,-18.0,-18.0,-9.0,-13.0,-6.0,-6.0,-14.0,-7.0,-14.0,-8.0,-15.0,-8.0,-15.0,-8.0,-16.0,-9.0,-16.0,-9.0,-16.0,-10.0,-16.0,-11.0,-16.0,-11.0,-17.0,-11.0,-16.0,-11.0,-17.0,-11.0,-17.0,-17.0,-10.0,-18.0,-10.0,-19.0,-10.0,-19.0,-9.0,-20.0,-10.0,-20.0,-20.0,-10.0,50.235
6.0,22.0,6.0,22.0,22.0,6.0,22.0,7.0,22.0,7.0,8.0,8.0,8.0,8.0,7.0,21.0,8.0,8.0,7.0,22.0,21.0,21.0,6.0,21.0,5.0,21.0,4.0,20.0,20.0,3.0,2.0,2.0,19.0,6.0,13.0,13.0,5.0,14.0,5.0,15.0,5.0,15.0,5.0,16.0,5.0,17.0,5.0,18.0,4.0,18.0,4.0,19.0,3.0,19.0,3.0,20.0,4.0,19.0,4.0,20.0,4.0,4.0,20.0,5.0,20.0,5.0,20.0,6.0,21.0,5.0,21.0,6.0,7.0,22.0,50.6152
-18.0,-19.0,-18.0,-18.0,-18.0,-18.0,-17.0,-18.0,-17.0,-18.0,-18.0,-19.0,-19.0,-20.0,-19.0,-15.0,-19.0,-19.0,-19.0,-15.0,-16.0,-16.0,-17.0,-16.0,-16.0,-16.0,-16.0,-15.0,-15.0,-15.0,-14.0,-13.0,-16.0,-14.0,-11.0,-12.0,-14.0,-13.0,-14.0,-13.0,-14.0,-14.0,-15.0,-15.0,-15.0,-15.0,-15.0,-16.0,-15.0,-16.0,-15.0,-18.0,-14.0,-17.0,-15.0,-18.0,-14.0,-18.0,-15.0,-18.0,-15.0,-15.0,-18.0,-16.0,-18.0,-16.0,-18.0,-17.0,-18.0,-18.0,-18.0,-19.0,-19.0,-17.0,50.7665
-16.0,-19.0,-16.0,-19.0,-19.0,-17.0,-19.0,-17.0,-18.0,-17.0,-17.0,-17.0,-18.0,-18.0,-18.0,-17.0,-18.0,-18.0,-17.0,-17.0,-18.0,-17.0,-16.0,-18.0,-15.0,-17.0,-14.0,-17.0,-17.0,-13.0,-13.0,-12.0,-17.0,-11.0,-12.0,-13.0,-11.0,-13.0,-11.0,-14.0,-12.0,-15.0,-12.0,-15.0,-12.0,-16.0,-12.0,-17.0,-11.0,-17.0,-12.0,-18.0,-12.0,-18.0,-12.0,-18.0,-12.0,-18.0,-12.0,-18.0,-12.0,-13.0,-18.0,-13.0,-18.0,-14.0,-19.0,-14.0,-18.0,-15.0,-19.0,-15.0,-16.0,-19.0,51.3763
23.0,7.0,22.0,7.0,7.0,22.0,6.0,23.0,5.0,22.0,22.0,22.0,22.0,22.0,22.0,4.0,22.0,22.0,22.0,4.0,5.0,4.0,20.0,5.0,19.0,5.0,19.0,5.0,5.0,18.0,18.0,17.0,6.0,16.0,3.0,4.0,17.0,4.0,17.0,5.0,18.0,6.0,18.0,6.0,19.0,6.0,19.0,7.0,19.0,7.0,19.0,9.0,19.0,8.0,20.0,9.0,20.0,9.0,20.0,9.0,20.0,20.0,8.0,21.0,8.0,21.0,8.0,22.0,7.0,22.0,7.0,23.0,24.0,7.0,51.48
20.0,16.0,20.0,15.0,16.0,20.0,15.0,20.0,15.0,20.0,20.0,21.0,21.0,21.0,21.0,13.0,21.0,21.0,21.0,14.0,15.0,14.0,19.0,15.0,18.0,15.0,17.0,14.0,14.0,16.0,15.0,15.0,15.0,14.0,9.0,9.0,14.0,10.0,14.0,11.0,15.0,12.0,15.0,12.0,15.0,13.0,16.0,14.0,16.0,14.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,17.0,15.0,17.0,15.0,18.0,16.0,19.0,15.0,19.0,16.0,20.0,20.0,16.0,51.8883
23.0,5.0,23.0,5.0,5.0,23.0,5.0,23.0,4.0,22.0,22.0,23.0,23.0,23.0,22.0,3.0,23.0,22.0,22.0,4.0,4.0,4.0,21.0,5.0,20.0,5.0,19.0,5.0,5.0,18.0,18.0,17.0,7.0,15.0,1.0,1.0,16.0,2.0,16.0,2.0,17.0,3.0,18.0,3.0,18.0,4.0,19.0,4.0,19.0,5.0,19.0,6.0,19.0,6.0,20.0,6.0,20.0,6.0,20.0,6.0,20.0,20.0,5.0,21.0,5.0,21.0,5.0,22.0,5.0,22.0,5.0,23.0,24.0,5.0,51.9901
3.0,-25.0,2.0,-24.0,-24.0,2.0,-24.0,1.0,-24.0,1.0,1.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,1.0,-24.0,-24.0,-23.0,3.0,-23.0,2.0,-22.0,3.0,-21.0,-20.0,3.0,4.0,4.0,-19.0,-1.0,-16.0,-17.0,0.0,-18.0,0.0,-18.0,1.0,-19.0,1.0,-19.0,1.0,-20.0,2.0,-20.0,2.0,-21.0,3.0,-21.0,3.0,-21.0,4.0,-22.0,3.0,-21.0,4.0,-22.0,3.0,3.0,-22.0,3.0,-22.0,3.0,-23.0,2.0,-23.0,2.0,-24.0,2.0,1.0,-25.0,51.995
-21.0,14.0,-20.0,13.0,13.0,-21.0,14.0,-20.0,14.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,14.0,-19.0,-19.0,-19.0,14.0,14.0,13.0,-18.0,13.0,-18.0,12.0,-18.0,11.0,11.0,-18.0,-18.0,-17.0,9.0,-13.0,9.0,9.0,-15.0,9.0,-15.0,9.0,-16.0,9.0,-17.0,10.0,-17.0,10.0,-18.0,10.0,-19.0,9.0,-20.0,9.0,-20.0,9.0,-20.0,9.0,-20.0,9.0,-20.0,9.0,-20.0,-20.0,10.0,-20.0,11.0,-21.0,11.0,-20.0,12.0,-21.0,12.0,-22.0,-22.0,13.0,52.0003
-21.0,-15.0,-21.0,-14.0,-14.0,-21.0,-14.0,-21.0,-13.0,-21.0,-21.0,-21.0,-21.0,-22.0,-21.0,-11.0,-22.0,-21.0,-21.0,-11.0,-12.0,-11.0,-20.0,-11.0,-19.0,-11.0,-19.0,-11.0,-11.0,-17.0,-17.0,-17.0,-12.0,-13.0,-10.0,-11.0,-14.0,-11.0,-14.0,-12.0,-15.0,-12.0,-15.0,-13.0,-16.0,-13.0,-16.0,-14.0,-15.0,-14.0,-15.0,-16.0,-15.0,-15.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-17.0,-17.0,-15.0,-18.0,-15.0,-18.0,-15.0,-19.0,-15.0,-19.0,-15.0,-20.0,-20.0,-15.0,52.0061
